"APPENDIX PA-1

The species that scored above a threshold established by each Taxa Team for the Conservation Concern evaluation category have been designated as Species of Greatest Conservation Need (SGCN). All SGCN are considered a priority for use of State Wildlife Grant (SWG) Program funds.  Any changes to the SGCN list to add or remove species will be reviewed and approved by the USFWS as a major revision to the North Carolina Wildlife Action Plan (NCWAP).  In subsequent revisions, species that are newly listed for protection under the ESA, or that are petitioned for listing and for which the USFWS issues a positive 90-day finding, and newly described species will be prioritized for SGCN designation without need for evaluation by a Taxa Team.",,,,,,,,,,
Lasmigona decorata,Carolina Heelsplitter,Unionoida,Unionidae,X,E,E,X,,,
Lasmigona holstonia,Tennessee Heelsplitter,Unionoida,Unionidae,X,--,E,--,,,
Lasmigona subviridis,Green Floater,Unionoida,Unionidae,X,--,E,X,,,
Ligumia nasuta,Eastern Pondmussel,Unionoida,Unionidae,X (add*),--,T,--,,,
Pegias fabula,Littlewing Pearlymussel,Unionoida,Unionidae,X,E,E,X,,,
Pleurobema oviforme,Tennessee Clubshell,Unionoida,Unionidae,X,--,E,X,,,
Pleuronaia barnesiana,Tennessee Pigtoe,Unionoida,Unionidae,X,--,E,X,,,
Potamilus alatus,Pink Heelsplitter,Unionoida,Unionidae,X (add*),--,--,--,,,
Strophitus undulatus,Creeper,Unionoida,Unionidae,X (add*),--,--,--,,,
Toxolasma pullus,Savannah Lilliput,Unionoida,Unionidae,X,--,E,X,,,
Villosa constricta,Notched Rainbow,Unionoida,Unionidae,X,--,T,--,,,
Villosa delumbis,Eastern Creekshell,Unionoida,Unionidae,X,--,--,--,,,
Villosa iris,Rainbow,Unionoida,Unionidae,X,--,T,--,,,
Villosa modioliformis,Eastern Rainbow (Neuse R. pop.),Unionoida,Unionidae,X,--,--,--,,,
Villosa vaughaniana,Carolina Creekshell,Unionoida,Unionidae,X,--,E,X,,,
,,,,40,7,33,14,,,
INSECTS,,,,,,,,44,E(2),None
Microhexura montivaga,Spruce–fir Moss Spider,Araneae,Dipluridae,X,E,E / E,--,,,
Nicrophorus americanus,American Burying Beetle,Coleoptera,Silphidae,X,--,--,--,,,
Baetisca becki,A Mayfly,Ephemeroptera,Baetiscidae,X,--,--,--,,,
Baetisca obesa,A Mayfly,Ephemeroptera,Baetiscidae,X,--,--,--,,,
Baetopus trishae,A Mayfly,Ephemeroptera,Baetiscidae,X,--,--,--,,,
Barbaetis benfieldi,Benfield’s Bearded Small Minnow Mayfly,Ephemeroptera,Baetiscidae,X,--,--,--,,,
Homoeoneuria cahabensis,Cahaba Sand-filtering Mayfly,Ephemeroptera,Oligoneuriidae,X,--,--,--,,,
Serratella spiculosa,Spiculose Serratellan Mayfly,Ephemeroptera,Ephemerellidae,X,--,--,--,,,
Tortopus puella,A Mayfly,Ephemeroptera,Polymitarcyidae,X,--,--,--,,,
Bombus affinis,Rusty-patched Bumble Bee,Hymenoptera,Apidae,X,E,E,X,,,
Bombus fervidus,Golden Northern Bumble Bee,Hymenoptera,Apidae,X,--,--,--,,,
Bombus fraternus,Southern Plains Bumble Bee,Hymenoptera,Apidae,X,--,--,X,,,
Bombus pensylvanicus,American Bumble Bee,Hymenoptera,Apidae,X,--,--,X,,,
Bombus terricola ,Yellowbanded Bumble Bee [Mtn/Appalachian pop.],Hymenoptera,Apidae,X,--,--,X,,,
Bombus vagans,Half Black Bumble Bee,Hymenoptera,Apidae,X,--,--,--,,,
Bombus variabilis,Variable Cuckoo Bumble Bee,Hymenoptera,Apidae,X,--,--,--,,,
Agrotis carolina,Carolina Agrotis ,Lepidoptera,Noctuidae,X,--,--,--,,,
Atrytone arogos arogos [= A. earogosarogos],Eastern Arogos Skipper,Lepidoptera,Hesperiidae,X,--,--,--,,,
Atrytone opsis sp. 1,Crystal Skipper,Lepidoptera,Hesperiidae,X,--,--,--,,,
Catocala grisatra,Grisatra Underwing Moth,Lepidoptera,Erebidae,X,--,--,--,,,
Danaus plexippus,Monarch ,Lepidoptera,Nymphalidae,X,--,--,--,,,
Euphyes berryi,Berry’s Skipper,Lepidoptera,Hesperiidae,X,--,--,--,,,
Euphyes dukesi,Dukes’ Skipper,Lepidoptera,Hesperiidae,X,--,--,--,,,
Hemipachnobia monochromatea,Sundew Cutworm Moth,Lepidoptera,Noctuidae,X,--,--,--,,,
Hemipachnobia subporphyrea,Venus Flytrap Cutworm Moth,Lepidoptera,Noctuidae,X,--,--,--,,,
Lemmeria digitalis,Fingered Lemmeria Moth,Lepidoptera,Noctuidae,X,--,--,--,,,
Meropleon diversicolor sullivani,Sullivan’s Meropleon ,Lepidoptera,Noctuidae,X,--,--,--,,,
Neonympha mitchellii francisci,St. Francis’ Satyr,Lepidoptera,Nymphalidae,X,E,E / E,--,,,
Papaipema eryngii,Rattlesnake-master Borer Moth,Lepidoptera,Noctuidae,X,C,C / -,--,,,
Phyciodes batesii maconensis,Appalachian Tawny Crescent,Lepidoptera,Nymphalidae,X,--,--,--,,,
Poanes aaroni aaroni,Aaron’s Skipper,Lepidoptera,Hesperiidae,X,--,--,--,,,
Problema bulenta,Rare Skipper,Lepidoptera,Hesperiidae,X,--,--,--,,,
Pyrgus wyandot,Appalachian Grizzled Skipper,Lepidoptera,Hesperiidae,X,--,--,--,,,
Spartiniphaga carterae,A Moth,Lepidoptera,Noctuidae,X,--,--,--,,,
Ophiogomphus edumudo,Edmund’s Snaketail ,Odonata,Gomphidae,X,--,--,--,,,
Progomphus bellei,Belle’s Sandragon,Odonata,Gomphidae,X,--,--,--,,,
Melanoplus decorus,Decorated Spur-throat Melanoplus,Orthoptera,Acrididae,X,--,--,--,,,
Stethophyma celatum,Broad-winged Sedge Grasshopper,Orthoptera,Acrididae,X,--,--,--,,,
Megaleuctra williamsae,Williams’ Rare Winter Stonefly,Plecoptera,Leuctridae,X,--,--,--,,,
Zapada chila,Smokies Forestfly,Plecoptera,Nemouridae,X,--,--,--,,,
Ceraclea cancellata,A Longhorned Caddisfly,Trichoptera,Leptoceridae,X,--,--,--,,,
Diplectrona metaqui,A Diplectronan Caddisfly,Trichoptera,Hydropsychidae,X,--,--,--,,,
Manophylax altus,Mount Mitchell Caddisfly,Trichoptera,Apataniidae,X,--,--,--,,,
Rhyacophila vibox,A Rhyacophilan Caddisfly,Trichoptera,Rhyacophilidae,X,--,--,--,,,
,,,,44,4,4,4,,,
MAMMALS,,,,,,,,32,"E(5), T(1), EXP(1)","T(3), SC(10)"
Cervus elaphus [= C. canadensis],Elk,Artiodactyla,Cervidae,X,--,SC,--,,,
Canis rufus,Red Wolf,Carnivora,Canidae,X,Exp-N,T,X,,,
Eubalaena glacialis,Northern Right Whale,Cetacea,Balaenidae,X,E,E,--,,,
Balaenoptera physalus,Fin Whale,Cetacea,Balaenopteridae,X,E,E,X,,,
Megaptera novaeangliae,Humpback Whale,Cetacea,Balaenopteridae,X,E,E,--,,,
Physeter catodon [= P. microcephalus],Sperm Whale,Cetacea,Physeteridae,X,E,E,--,,,
Corynorhinus rafinesquii,Rafinesque's Big-eared Bat,Chiroptera,Vespertilionidae,X,--,--,X,,,
Corynorhinus rafinesquii macrotis,Rafinesque's [= Eastern] Big-eared Bat - CP Pop.,Chiroptera,Vespertilionidae,X,--,SC,X,,,
Corynorhinus rafinesquii rafinesquii,Rafinesque's Big-eared Bat - Mtn Pop.,Chiroptera,Vespertilionidae,X,--,T,X,,,
Corynorhinus townsendii,Townsend's Big-eared Bat,Chiroptera,Vespertilionidae,X,--,--,--,,,
Corynorhinus townsendii virginianus,Virginia Big-eared Bat,Chiroptera,Vespertilionidae,X,E,E,X,,,
Lasiurus intermedius,Northern Yellow Bat,Chiroptera,Vespertilionidae,X,--,SC,X,,,
Lasiurus seminolus,Seminole Bat,Chiroptera,Vespertilionidae,X (add*),--,--,--,,,
Myotis austroriparius,Southeastern Bat,Chiroptera,Vespertilionidae,X,--,SC,X,,,
Myotis grisescens,Gray Bat,Chiroptera,Vespertilionidae,X,E,E,X,,,
Myotis leibii,Eastern Small-footed Bat,Chiroptera,Vespertilionidae,X,--,SC,X,,,
Myotis lucifugus,Little Brown Bat,Chiroptera,Vespertilionidae,X,--,--,X,,,
Myotis septentrionalis,Northern Long-Eared Bat,Chiroptera,Vespertilionidae,X,T,T,X,,,
Myotis sodalis,Indiana Bat,Chiroptera,Vespertilionidae,X,E,E,X,,,
Perimyotis subflavus,Tri-colored Bat,Chiroptera,Vespertilionidae,X,--,--,X,,,
Microtus chrotorrhinus,Rock Vole,Rodentia,Cricetidae,X,--,--,--,,,
Microtus chrotorrhinus carolinensis,Southern Rock Vole,Rodentia,Cricetidae,X,--,SC,X,,,
Neotoma floridana floridana,Eastern Woodrat - CP population,Rodentia,Cricetidae,X,--,T,--,,,
Neotoma floridana haematoreia,Southern Appalachian Woodrat,Rodentia,Cricetidae,X,--,--,X,,,
Neotoma magister,Allegheny Woodrat,Rodentia,Cricetidae,X,--,SC,X,,,
Peromyscus leucopus buxtoni,Buxton Woods White-footed Deermouse,Rodentia,Cricetidae,X,--,SC,X,,,
Peromyscus leucopus easti,Pungo White-footed Deermouse,Rodentia,Cricetidae,X,--,SC,X,,,
Peromyscus polionotus,Old-field Deermouse,Rodentia,Cricetidae,X,--,SC,X,,,
Glaucomys sabrinus coloratus,Carolina Northern Flying Squirrel,Rodentia,Sciuridae,X,E,E,X,,,
Trichechus manatus,West Indian Manatee,Sirenia,Trichechidae,X,T,E,X,,,
Sorex palustris punctulatus,Southern Water Shrew,Soricomorpha,Soricidae,X (add*),--, SC,,,,
Sorex sp. 1,An undescribed Shrew,Soricomorpha,Soricidae,X,--,--,--,,,
,,,,32,11,24,22,,,
REPTILES,,,,,,,,43,"E(3), T(2), TS/A(2)","E(2),  T(2), SC(12)"
Alligator mississippiensis,American Alligator,Alligatoria,Alligatoridae,X,T (S/A),T,--,,,
Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,Squamata,Anguidae,X,--,--,X,,,
Ophisaurus mimicus,Mimic Glass Lizard,Squamata,Anguidae,X,--,SC,X,,,
Cemophora coccinea copei,Northern Scarlet Snake,Squamata,Colubridae,X,--,--,--,,,
Farancia erytrogramma erytrogramma,Common Rainbow Snake,Squamata,Colubridae,X,--,--,X,,,
Heterodon simus,Southern Hognose Snake,Squamata,Colubridae,X,--,T,X,,,
Lampropeltis calligaster rhombomaculata,Mole Kingsnake,Squamata,Colubridae,X,--,--,--,,,
Lampropeltis getula sticticeps,Outer Banks Kingsnake,Squamata,Colubridae,X,--,SC,--,,,
Lampropeltis triangulum elapsoides,Scarlet Kingsnake,Squamata,Colubridae,X,--,--,--,,,
Lampropeltis triangulum temporalis,Coastal Plain Milk Snake,Squamata,Colubridae,X,--,--,--,,,
Lampropeltis triangulum triangulum,Eastern Milk Snake,Squamata,Colubridae,X,--,--,--,,,
Masticophis [= Coluber] flagellum ,Eastern Coachwhip,Squamata,Colubridae,X,--,--,--,,,
Nerodia sipedon williamengelsi,Carolina Water Snake,Squamata,Colubridae,X,--,SC,X,,,
Opheodrys vernalis  (incl O.v. vernalis),Smooth Green Snake,Squamata,Colubridae,X,--,SC,--,,,
Pituophis melanoleucus melanoleucus,Northern Pine Snake,Squamata,Colubridae,X,--,T,X,,,
Regina rigida ,Glossy Crayfish Snake,Squamata,Colubridae,X,--,--,--,,,
Regina septemvittata,Queen Snake,Squamata,Colubridae,X,--,--,--,,,
Rhadinaea flavilata,Pine Woods Litter Snake,Squamata,Colubridae,X,--,--,X,,,
Seminatrix [= Liodytes] pygaea paludis,Carolina Swamp Snake,Squamata,Colubridae,X,--,SC,--,,,
Thamnophis sauritus sauritus,Eastern Ribbon Snake,Squamata,Colubridae,X,--,--,--,,,
Virginia valeriae valeriae,Eastern Smooth Earth Snake,Squamata,Colubridae,X,--,--,--,,,
Micrurus fulvius,Eastern Coral Snake,Squamata,Elapidae,X,--,E,X,,,
Eumeces [= Plestiodon] anthracinus,Coal Skink,Squamata,Scincidae,X,--,--,X,,,
Crotalus adamanteus,Eastern Diamondback Rattlesnake,Squamata,Viperidae,X,--,E,X,,,
Crotalus horridus,Timber (Canebrake) Rattlesnake,Squamata,Viperidae,X,--,SC,X,,,
Sistrurus miliarius miliarius ,Carolina Pigmy Rattlesnake,Squamata,Viperidae,X,--,SC,X,,,
Caretta caretta,Loggerhead Sea Turtle,Testudines,Cheloniidae,X,T,T,X,,,
Chelonia mydas,Green Sea Turtle,Testudines,Cheloniidae,X,T,T,X,,,
Eretmochelys imbricata imbricata,Atlantic Hawksbill Sea Turtle,Testudines,Cheloniidae,X,E,E,X,,,
Lepidochelys kempii,Kemp's Ridley Sea Turtle,Testudines,Cheloniidae,X,E,E,X,,,
Dermochelys coriacea,Leatherback Sea Turtle,Testudines,Dermochelyidae,X,E,E,X,,,
Clemmys guttata,Spotted Turtle,Testudines,Emydidae,X,--,--,X,,,
Deirochelys reticularia reticularia ,Eastern Chicken Turtle,Testudines,Emydidae,X,--,SC,X,,,
Glyptemys muhlenbergii,Bog Turtle,Testudines,Emydidae,X,T (S/A),T,X,,,
Graptemys geographica,Northern Map Turtle,Testudines,Emydidae,X,--,--,--,,,
Malaclemys terrapin,Diamondback Terrapin,Testudines,Emydidae,X,--,SC,X,,,
Pseudemys rubriventris,Northern Red-bellied Cooter,Testudines,Emydidae,X,--,--,X,,,
Terrapene carolina carolina,Eastern Box Turtle,Testudines,Emydidae,X,--,--,X,,,
Trachemys scripta troostii,Cumberland Slider,Testudines,Emydidae,X,--,SC,X,,,
Kinosternon baurii,Striped Mud Turtle,Testudines,Kinosternidae,X,--,--,X,,,
Sternotherus minor peltifer,Stripe-necked Musk Turtle,Testudines,Kinosternidae,X,--,SC,X,,,
Apalone spinifera aspera,Gulf Coast Spiny Softshell,Testudines,Trionychidae,X,--,--,--,,,
Apalone spinifera spinifera,Eastern Spiny Softshell,Testudines,Trionychidae,X,--,SC,--,,,
,,,,43,7,23,26,,,
SNAILS,,,,,,,,72,"T(1),    C(1)","T(4), SC(27)"
Carychium clappi,Appalachian Thorn,Basommatophora,Carychiidae,X,--,--,--,,,
Carychium exiguum,Obese Thorn,Basommatophora,Carychiidae,X,--,--,--,,,
Carychium nannodes,File Thorn,Basommatophora,Carychiidae,X,--,--,--,,,
Helisoma anceps,Two-ridged Rams-horn,Basommatophora,Planorbidae,X,--,--,--,,,
Helisoma eucosmium,Greenfield Rams-horn,Basommatophora,Planorbidae,X,--,E,--,,,
Planorbella magnifica,Magnificent Rams-horn,Basommatophora,Planorbidae,X,C,E,--,,,
Amnicola sp. 1,Waccamaw Snail,Neotaenioglossa,Amnciolidae,X,--,SC,--,,,
Floridobia sp. [= Cincinnatia sp. 1],Waccamaw Siltsnail,Neotaenioglossa,Hydrobiidae,X,--,SC,--,,,
Somatogyrus sp. 1,A Hydrobid Snail,Neotaenioglossa,Lithoglyphidae,X,--,--,--,,,
Somatogyrus virginicus,Panhandle Pebblesnail,Neotaenioglossa,Lithoglyphidae,X,--,--,--,,,
Elimia christyi,Christy's Elimia [Knotty Elimia],Neotaenioglossa,Pleuroceridae,X,--,E,--,,,
Leptoxis virgata,Smooth Mudalia,Neotaenioglossa,Pleuroceridae,X,--,T,--,,,
Helicodiscus bonamicus,Spiral Coil,Stylommatophora,Helicodiscidae,X,--,SC,--,,,
Helicodiscus fimbriatus,Fringed Coil,Stylommatophora,Helicodiscidae,X,--,SC,--,,,
Helicodiscus triodus,Talus Coil,Stylommatophora,Helicodiscidae,X,--,--,--,,,
Euchemotrema fasciatum,Mountain Pillsnail,Stylommatophora,Polygyridae,X,--,--,--,,,
Fumonelix archeri,Ocoee Covert,Stylommatophora,Polygyridae,X,--,--,--,,,
Fumonelix cherohalaensis,Roan Covert,Stylommatophora,Polygyridae,X,--,--,--,,,
Fumonelix jonesiana,Big-tooth Covert,Stylommatophora,Polygyridae,X,,T,--,,,
Fumonelix langdoni,Talus Covert,Stylommatophora,Polygyridae,X,--,--,--,,,
Fumonelix orestes,Engraved Covert,Stylommatophora,Polygyridae,X,--,T,--,,,
Fumonelix roanensis,Rock-loving Covert,Stylommatophora,Polygyridae,X,--,--,--,,,
Fumonelix wheatleyi,Cinnamon Covert,Stylommatophora,Polygyridae,X,--,--,--,,,
Fumonelix wheatleyi clingmanicus,Clingman Covert,Stylommatophora,Polygyridae,X,--,SC,--,,,
Inflectarius downieanus,Dwarf Globelet,Stylommatophora,Polygyridae,X,--,--,--,,,
Inflectarius ferrissi,Smoky Mountain Covert,Stylommatophora,Polygyridae,X,--,T,--,,,
Inflectarius subpalliatus,Velvet Covert,Stylommatophora,Polygyridae,X,--,SC,--,,,
Inflectarius verus,a snail,Stylommatophora,Polygyridae,X,--,--,--,,,
Mesodon altivagus,Wandering Globe,Stylommatophora,Polygyridae,X,--,--,--,,,
Mesodon andrewsae,Balsam Globe,Stylommatophora,Polygyridae,X,--,--,--,,,
Mesodon mitchellianus,Sealed Globelet,Stylommatophora,Polygyridae,X,--,--,--,,,
Patera clarki [incl. P.c. clarki],Dwarf Proud Globe,Stylommatophora,Polygyridae,X,--,SC,--,,,
Patera clarki nantahala,Noonday Globe,Stylommatophora,Polygyridae,X,T,T,--,,,
Praticolella lawae,Appalachian Shrubsnail,Stylommatophora,Polygyridae,X,--,--,--,,,
Stenotrema depilatum,Great Smoky Slitmouth,Stylommatophora,Polygyridae,X,--,SC,--,,,
Stenotrema pilula,Pygmy Slitmouth,Stylommatophora,Polygyridae,X,--,--,--,,,
Triodopsis soelneri,Cape Fear Threetooth,Stylommatophora,Polygyridae,X,--,T,--,,,
Xolotrema caroliniense,Blunt Wedge,Stylommatophora,Polygyridae,X,--,--,--,,,
Gastrocopta pellucida,Slim Snaggletooth,Stylommatophora,Pupillidae,X,--,--,--,,,
Vertigo bollesiana,Delicate Vertigo,Stylommatophora,Pupillidae,X,--,--,--,,,
Vertigo parvula,Smallmouth Vertigo,Stylommatophora,Pupillidae,X,--,--,--,,,
Vertigo sp. 3,A new vertigo,Stylommatophora,Pupillidae,X,--,--,--,,,
Catinella hubrichti,Snowhill Ambersnail,Stylommatophora,Succineidae,X,--,--,--,,,
Catinella pugilator,Weedpatch Ambersnail,Stylommatophora,Succineidae,X,--,--,--,,,
Catinella waccamawensis,Waccamaw Ambersnail,Stylommatophora,Succineidae,X,--,T,--,,,
Oxyloma effusum,Coastal-plain Ambersnail,Stylommatophora,Succineidae,X,--,--,--,,,
Succinea campestris,Crinkled Ambersnail,Stylommatophora,Succineidae,X,--,--,--,,,
Succinea unicolor,Squatty Ambersnail,Stylommatophora,Succineidae,X,--,--,--,,,
Succinea wilsonii,Golden Ambersnail,Stylommatophora,Succineidae,X,--,--,--,,,
Vallonia excentrica,Iroquois Vallonia,Stylommatophora,Valloniidae,X,--,--,--,,,
Glyphyalinia clingmani,Fragile Glyph,Stylommatophora,Zonitidae,X,--,E,--,,,
Glyphyalinia junaluskana,Dark Glyph,Stylommatophora,Zonitidae,X,--,SC,--,,,
Glyphyalinia luticola,Furrowed Glyph,Stylommatophora,Zonitidae,X,--,--,--,,,
Glyphyalinia ocoae,Blue-gray Glyph,Stylommatophora,Zonitidae,X,--,--,--,,,
Glyphyalinia pentadelphia,Pink Glyph,Stylommatophora,Zonitidae,X,--,SC,--,,,
Hawaiia alachuana,Southeastern Gem,Stylommatophora,Zonitidae,X,--,--,--,,,
Mesomphix capnodes,Dusky Button,Stylommatophora,Zonitidae,X,--,--,--,,,
Mesomphix latior,Broad Button,Stylommatophora,Zonitidae,X,--,--,--,,,
Mesomphix pilsbryi,Striate Button,Stylommatophora,Zonitidae,X,--,--,--,,,
Paravitrea clappi,Mirey Ridge Supercoil,Stylommatophora,Zonitidae,X,--,SC,--,,,
Paravitrea lacteodens,Ramp Cove Supercoil,Stylommatophora,Zonitidae,X,--,SC,--,,,
Paravitrea placentula,Glossy Supercoil,Stylommatophora,Zonitidae,X,--,SC,--,,,
Paravitrea reesei,Round Supercoil,Stylommatophora,Zonitidae,X,--,--,--,,,
Paravitrea ternaria,Sculpted Supercoil,Stylommatophora,Zonitidae,X,--,T,--,,,
Paravitrea umbilicaris,Open Supercoil,Stylommatophora,Zonitidae,X,--,SC,--,,,
Paravitrea varidens,Roan Supercoil,Stylommatophora,Zonitidae,X,--,T,--,,,
Pilsbryna nodopalma,Oar Tooth Bud,Stylommatophora,Zonitidae,X,--,--,--,,,
Pilsbryna vanattai,Honey Glyph,Stylommatophora,Zonitidae,X,--,SC,--,,,
Ventridens arcellus,Golden Dome,Stylommatophora,Zonitidae,X,--,--,--,,,
Ventridens lasmodon,Hollow Dome,Stylommatophora,Zonitidae,X,--,--,--,,,
Ventridens suppressus,Flat Dome,Stylommatophora,Zonitidae,X,--,--,--,,,
Zonitoides patuloides,Appalachian Gloss,Stylommatophora,Zonitidae,X,--,SC,--,,,
,,,,72,1,29,0,,,
,TOTALS,,,483,48,221,209,,,
"USFWS LISTED SPECIES NOT INCLUDED (extinct, historical range, adjacent state restorations)",,,,,,,,,,
Sterna dougallii dougallii,Roseate Tern,,,--,E,--,--,,,
Villosa trabalis,Cumberland Bean,,,--,E,--,--,,,
Quadrula sparsa,Appalachian Monkeyface (Pearlymussel),,,--,E,--,--,,,
Pleuronaia dolabelloides,Slabside Pearlymussel,,,--,E,--,--,,,
Noturus baileyi,Smoky Madtom,,,--,"E, Exp-N",--,--,,,
Athearnia anthonyi,Anthony's Riversnail,,,--,E,--,--,,,
"* Federal/State Status Abbreviations

Federal Listings
E = Endangered         T = Threatened       T (S/A) = Threatened due to Similar Appearance        C = Candidate         
PE = Proposed Endangered             PT = Proposed Threatened                  Exp-N = Experimental Population, Non-Essential

State Listings
E = Endangered         T = Threatened       SC = Special Concern
             
**Separate Population Segments that winter along Atlantic Coast.",,,,,,,,,"E= 21
T= 10
TS/A= 2
PE= 1
PT= 3
C= 3
_______
TOTAL = 41","E= 33
T= 42
SC= 124
_______
TOTAL=
199"
A copy of this table can be downloaded in MicroSoft Excel format from the NC Wildlife Action Plan web site:  www.ncwildlife.org/plan,,,,,,,,483,,
